Company Name,Industry,Stage,Amount($),HeadQuarter,Funding Year,Founded,category
alphaics Corporation,Cloud Computing,Early Stage,0.0,Bengaluru,2018,unknown,Other
MyDentistChoice,Health Care,Early Stage,500000.0,Hyderabad,2018,unknown,Healthcare
Sattviko,Food Processing,Angel and Grants,0.0,New Delhi,2018,unknown,Food & Agriculture
Sensibull,Trading Platform,Early Stage,365000.0,Bangalore,2018,unknown,Other
Bombay Shaving Company,Consumer Goods,Series A to Series H,0.0,New Delhi,2018,unknown,Other
MedCords,Wellness,Early Stage,385440.0,Pune,2018,unknown,Healthcare
University Living,Education,Early Stage,0.0,New Delhi,2018,unknown,Other
&ME,Food and Beverage,Early Stage,0.0,Bangalore,2018,unknown,Food & Agriculture
Enakshi,Fashion,Early Stage,116800.0,Ahmedabad,2018,unknown,Other
Ultraviolette Automotive,Automotive,Series A to Series H,876.0,Bangalore,2018,unknown,Autommotive $ Transportation
Inthree Access,Consulting,Series A to Series H,4000000.0,Chennai,2018,unknown,Consulting & Services
BUGWORKS Research India,Biotechnology,Series A to Series H,9000000.0,Bangalore,2018,unknown,Technology
Guardian.in,Health Care,Early Stage,0.0,Mumbai,2018,unknown,Healthcare
PrestLoans,Credit,Early Stage,100000.0,New Delhi,2018,unknown,Finance $ Banking
Wimoxez,Internet,Early Stage,20000.0,Hyderabad,2018,unknown,Technology
India Accelerator,Communities,Angel and Grants,0.0,Gurgaon,2018,unknown,Other
HappyEMI,Consumer,Early Stage,1000000.0,Bangalore,2018,unknown,Other
Wishup,Consumer Applications,Early Stage,0.0,Azadpur,2018,unknown,Other
Hansel.io,Mobile,Series A to Series H,4000000.0,Bangalore,2018,unknown,Other
Propelld,Education,Early Stage,250000.0,Bengaluru,2018,unknown,Other
PivotRoots,Advertising,Series A to Series H,0.0,Mumbai,2018,unknown,Other
ZiffyHomes,Marketplace,Early Stage,120000.0,New Delhi,2018,unknown,E-Commerce & Marketplace
Carmesi,Health Care,Early Stage,496400.0,Gurgaon,2018,unknown,Healthcare
OckyPocky,E-Learning,Angel and Grants,0.0,Haryana,2018,unknown,Other
Racetrack,Artificial Intelligence,Early Stage,4993200.0,Bangalore,2018,unknown,Other
WHR,Health Care,Early Stage,143145.0,Pune,2018,unknown,Healthcare
Asteria Aerospace,Aerospace,Early Stage,0.0,Bangalore,2018,unknown,Other
FabAlley,E-Commerce,Series A to Series H,8760000.0,Noida,2018,unknown,E-Commerce & Marketplace
Tranzmeo,Artificial Intelligence,Early Stage,0.0,Cochin,2018,unknown,Other
SBI Life,Insurance,Later Stage,742000000.0,Mumbai,2018,unknown,Finance $ Banking
Studds Accessories,E-Commerce,Later Stage,14600000.0,Faridabad,2018,unknown,E-Commerce & Marketplace
Design Cafe,Home Decor,Series A to Series H,29200000.0,Bengaluru,2018,unknown,Other
NoPaperForms Solutions Pvt. Ltd.,EdTech,Series A to Series H,3980000.0,New Delhi,2018,unknown,Technology
Rays Power Infra,Energy,unknown,29200000.0,Jaipur,2018,unknown,Other
AuthMetrik,B2B,Angel and Grants,10000.0,Gurgaon,2018,unknown,Other
Khidki,Artificial Intelligence,Early Stage,0.0,Bangalore,2018,unknown,Other
LetsTransport,Logistics,Series A to Series H,14600000.0,Bangalore,2018,unknown,Autommotive $ Transportation
Next Digital Solutions,Digital Marketing,Angel and Grants,1460.0,Kota,2018,unknown,E-Commerce & Marketplace
Portea Medical,Health Care,Later Stage,3650000.0,Bangalore,2018,unknown,Healthcare
Aavas Financiers,Finance,Later Stage,29200000.0,Jaipur,2018,unknown,Finance $ Banking
Swiggy,Food Delivery,Series A to Series H,1000000000.0,Bangalore,2018,unknown,Food & Agriculture
Milkbasket,E-Commerce,Series A to Series H,7000000.0,Haryana,2018,unknown,E-Commerce & Marketplace
Nutrisattva (Proliva),Fitness,Angel and Grants,0.0,Anand,2018,unknown,Other
Toppr,EdTech,Series A to Series H,35000000.0,Mumbai,2018,unknown,Technology
Jagaran Microfin,unknown,Later Stage,8030000.0,Kolkata,2018,unknown,Other
Vivriti Capital,Financial Services,unknown,28500000.0,Chennai,2018,unknown,Consulting & Services
Be U Salons,Apps,Early Stage,438000.0,New Delhi,2018,unknown,Other
Impact Guru,Creative Agency,Series A to Series H,2000000.0,Mumbai,2018,unknown,Other
MobiKwik,Consumer Lending,Series A to Series H,3504000.0,Gurgaon,2018,unknown,Other
Stones2Milestones,E-Learning,Early Stage,0.0,Gurgaon,2018,unknown,Other
Generico,Health Care,Series A to Series H,0.0,Mumbai,2018,unknown,Healthcare
Adiuvo Diagnostics,Health Diagnostics,Early Stage,0.0,Chennai,2018,unknown,Healthcare
DataTrained,EdTech,Early Stage,1752000.0,Bangalore,2018,unknown,Technology
OneAssist,Financial Services,Later Stage,2400000.0,Mumbai,2018,unknown,Consulting & Services
Satin Creditcare Network Limited (SCNL),Banking,Later Stage,30000000.0,New Delhi,2018,unknown,Finance $ Banking
APAC Financial Services,Finance,Later Stage,36500000.0,Mumbai,2018,unknown,Finance $ Banking
Moglix,B2B,Series A to Series H,23000000.0,Noida,2018,unknown,Other
SEDEMAC Mechatronics,Automotive,unknown,0.0,Mumbai,2018,unknown,Autommotive $ Transportation
MadGuy Labs,E-Learning,unknown,150000.0,Hyderabad,2018,unknown,Other
Dee Dee Labs,Embedded Systems,Early Stage,0.0,Pune,2018,unknown,Other
FLEECA,unknown,Early Stage,0.0,Jaipur,2018,unknown,Other
Shop101,Apps,Series A to Series H,11000000.0,Mumbai,2018,unknown,Other
FeedMyPockets,Advertising,Early Stage,642400.0,Bangalore City,2018,unknown,Other
Housejoy,Beauty,Series A to Series H,3240000.0,Bengaluru,2018,unknown,Other
Ambee,Health Care,Angel and Grants,0.0,Bangalore,2018,unknown,Healthcare
FoodBuddy,Food Delivery,Early Stage,876000.0,Belgaum,2018,unknown,Food & Agriculture
Ninjacart,AgTech,Series A to Series H,36500000.0,Bengaluru,2018,unknown,Technology
Olly Smart Credit Card,Credit Cards,Early Stage,0.0,New Delhi,2018,unknown,Finance $ Banking
Zestl,Software,Early Stage,0.0,Pune,2018,unknown,Technology
BYJU’S,EdTech,Later Stage,540000000.0,Bangalore,2018,unknown,Technology
Wakefit,Manufacturing,unknown,9490000.0,Bangalore,2018,unknown,Other
Hero Electric,Manufacturing,unknown,23360000.0,New Delhi,2018,unknown,Other
Pentation Analytics,Information Services,Early Stage,0.0,Mumbai,2018,unknown,Consulting & Services
PerkFinance,Consumer Lending,Early Stage,900000.0,Bangalore,2018,unknown,Other
Roposo,Internet,Series A to Series H,10000000.0,Gurgaon,2018,unknown,Technology
Plum Goodness,Beauty,Series A to Series H,0.0,Thane,2018,unknown,Other
Drstore,Hospital,Early Stage,0.0,Mumbai,2018,unknown,Other
Wow Venue,Events,unknown,1500000.0,Mumbai,2018,unknown,Other
Chizel,3D Printing,Early Stage,0.0,Pune,2018,unknown,Other
OTO Capital,Automotive,Early Stage,730000.0,Mumbai,2018,unknown,Autommotive $ Transportation
Boodmo,Automotive,Early Stage,1022000.0,Gurgaon,2018,unknown,Autommotive $ Transportation
Khabri,Apps,Early Stage,0.0,Haryana,2018,unknown,Other
MyNewCar.in,Automotive,unknown,1000000.0,Gurgaon,2018,unknown,Autommotive $ Transportation
HalaPlay Technologies,Digital Entertainment,Series A to Series H,5000000.0,Bangalore,2018,unknown,Other
PlanetSpark,E-Learning,Early Stage,233600.0,Gurgaon,2018,unknown,Other
WheelsEMI,unknown,Series A to Series H,14000000.0,Pune,2018,unknown,Other
Forum for Innovation Incubation Research and Entrepreneurship,Funding Platform,Angel and Grants,1496500.0,Margão,2018,unknown,Other
OYO,Hospitality,Series A to Series H,100000000.0,Gurgaon,2018,unknown,Other
Quikr,Classifieds,Later Stage,8030000.0,Bangalore,2018,unknown,Other
Tabono,Sports,Early Stage,0.0,Gurgaon,2018,unknown,Other
LearnApp,Banking,Early Stage,292000.0,Noida,2018,unknown,Finance $ Banking
Shopkirana,E-Commerce,unknown,2000000.0,Indore,2018,unknown,E-Commerce & Marketplace
Fric Bergen,unknown,unknown,0.0,Alwar,2018,unknown,Other
Articbot,Artificial Intelligence,Angel and Grants,17520.0,Kannur,2018,unknown,Other
BuildSupply,Enterprise Resource Planning (ERP),Series A to Series H,3650000.0,Gurgaon,2018,unknown,Other
Fusion Microfinance,Banking,Series A to Series H,75920000.0,New Delhi,2018,unknown,Finance $ Banking
Any time Doctor,Software,Angel and Grants,0.0,Chennai,2018,unknown,Technology
Go Payments,Information Services,Later Stage,0.0,Mumbai,2018,unknown,Consulting & Services
Guiddoo World,Audio,Early Stage,800000.0,Mumbai,2018,unknown,Other
ION Energy,Energy,unknown,1041000.0,Mumbai,2018,unknown,Other
UnoTag,Artificial Intelligence,Early Stage,100000.0,Bangalore,2018,unknown,Other
CivilCops,Government,Early Stage,100000.0,Gurgaon,2018,unknown,Other
Rockmetric,Information Technology,Angel and Grants,0.0,Mumbai,2018,unknown,Technology
Classworks India,Education,unknown,1460.0,Chennai,2018,unknown,Other
Snapmint,Consumer Lending,Early Stage,0.0,Mumbai,2018,unknown,Other
artbandhu,Digital Media,Early Stage,15000.0,Bangalore,2018,unknown,Other
Survaider,Business Intelligence,Early Stage,500000.0,Bengaluru,2018,unknown,Other
Credy,Credit,Early Stage,1400000.0,Bengaluru,2018,unknown,Finance $ Banking
iChamp,E-Learning,Early Stage,5000000.0,Gurgaon,2018,unknown,Other
Qandle,Software,Early Stage,1200000.0,Gurgaon,2018,unknown,Technology
Avishkaar Box,Children,Early Stage,730000.0,Delhi,2018,unknown,Other
Gegadyne Energy,Automotive,Angel and Grants,0.0,Mumbai,2018,unknown,Autommotive $ Transportation
HyperXchange,E-Commerce,Series A to Series H,1000000.0,Pune,2018,unknown,E-Commerce & Marketplace
Deftouch,unknown,Early Stage,0.0,Bangalore,2018,unknown,Other
Doodhwala,Food Delivery,Early Stage,2200000.0,Bengaluru,2018,unknown,Food & Agriculture
DronaHQ,Mobile,Angel and Grants,500000.0,Mumbai,2018,unknown,Other
FastFox,Rental,Series A to Series H,1460000.0,Gurgaon,2018,unknown,Other
BuyForexOnline,Travel,unknown,2000000.0,Bangalore,2018,unknown,Other
Colive.in,Consumer,Early Stage,1800000.0,Bangalore,2018,unknown,Other
Agricxlab Private Limited,B2B,Early Stage,500000.0,Thane,2018,unknown,Other
Corefactors,unknown,Early Stage,0.0,Bangalore,2018,unknown,Other
Fincash.com,Wealth Management,Early Stage,150000.0,Mumbai,2018,unknown,Finance $ Banking
Pandorum Technologies,Biotechnology,Series A to Series H,3600000.0,Bengaluru,2018,unknown,Technology
Shirsa Labs,Education,Early Stage,500000.0,Mumbai,2018,unknown,Other
PetSutra,Veterinary,Early Stage,138700.0,Gurgaon,2018,unknown,Other
Awaaz De,Internet,Angel and Grants,0.0,Ahmedabad,2018,unknown,Technology
PinkBlue,Health Care,Early Stage,300000.0,Bangalore,2018,unknown,Healthcare
Eduvanz,Finance,Angel and Grants,500000.0,Mumbai,2018,unknown,Finance $ Banking
Rupeek,Financial Services,Series A to Series H,6830000.0,Bangalore,2018,unknown,Consulting & Services
Backpacker Panda Holidays Private Limited,Tourism,Series A to Series H,1400000.0,Pune,2018,unknown,Other
Shape (School Health and Physical Education),Education,Early Stage,200000.0,Pune,2018,unknown,Other
Placio,Hospitality,Early Stage,2000000.0,Noida,2018,unknown,Other
Aviom India Housing Finance,Finance,Series A to Series H,2190000.0,New Delhi,2018,unknown,Finance $ Banking
GenRobotic,Market Research,Early Stage,0.0,Trivandrum,2018,unknown,E-Commerce & Marketplace
HeyHolidays,Tourism,Early Stage,1000000.0,Bangalore,2018,unknown,Other
Pratilipi,Digital Media,Series A to Series H,4300000.0,Bengaluru,2018,unknown,Other
SectorQube,Consumer Electronics,Early Stage,0.0,Ernakulam,2018,unknown,Other
Food Memories,Food and Beverage,Early Stage,0.0,Ahmedabad,2018,unknown,Food & Agriculture
ZAMROO,Internet,Early Stage,0.0,India,2018,unknown,Technology
Silversparro Technologies Pvt. Ltd,Analytics,Early Stage,300000.0,Gurgaon,2018,unknown,Other
Creator’s Gurukul,Facilities Support Services,Angel and Grants,0.0,Gurgaon,2018,unknown,Consulting & Services
Emflux Motors,Automotive,Early Stage,364846.0,Bengaluru,2018,unknown,Autommotive $ Transportation
Tricog Health Services Pvt Ltd,Health Care,Series A to Series H,4000000.0,Bangalore,2018,unknown,Healthcare
Scapic,Cloud Computing,Early Stage,500000.0,Bangalore,2018,unknown,Other
6Degree,Fashion,Early Stage,400000.0,Mumbai,2018,unknown,Other
Chrysalis (EZ Vidya),Education,Early Stage,0.0,Chennai,2018,unknown,Other
Ekincare,Medical,Series A to Series H,1500000.0,Hyderabad,2018,unknown,Healthcare
Streo,Music Streaming,Early Stage,0.0,Gurgaon,2018,unknown,Other
Groww,Finance,Early Stage,120000.0,Kormangala,2018,unknown,Finance $ Banking
Cell Propulsion,unknown,Early Stage,102200.0,Bangalore,2018,unknown,Other
Chezuba,Internet,Angel and Grants,20440.0,Hyderabad,2018,unknown,Technology
Ontrack Technologies Pvt. Ltd,Retail,Early Stage,0.0,Bangalore,2018,unknown,Other
Wealthtrust,Finance,Early Stage,500000.0,Mumbai,2018,unknown,Finance $ Banking
Faclon Labs,Cloud Computing,Early Stage,0.0,Mumbai,2018,unknown,Other
Awign Enterprises,Business Development,Early Stage,730000.0,Bangalore,2018,unknown,Other
CollPoll,Education,Early Stage,0.0,Bangalore,2018,unknown,Other
Zyla Health,Health Care,Early Stage,0.0,New Delhi,2018,unknown,Healthcare
Hubhopper,Internet,Series A to Series H,500000.0,Delhi,2018,unknown,Technology
Rubix108 Technologies,Information Technology,Early Stage,1000000.0,Pune,2018,unknown,Technology
Workflexi,Human Resources,Early Stage,146000.0,Bangalore,2018,unknown,Other
Streak,Financial Services,Early Stage,328500.0,Bangalore,2018,unknown,Consulting & Services
Kuants,Financial Services,Early Stage,73000.0,Gurgaon,2018,unknown,Consulting & Services
NiYO Solutions,Finance,Series A to Series H,13200000.0,Bangalore,2018,unknown,Finance $ Banking
Hippo Video,Customer Service,Early Stage,0.0,Chennai,2018,unknown,Other
Satvacart,E-Commerce,Early Stage,0.0,Gurgaon,2018,unknown,E-Commerce & Marketplace
Daaki,Health Care,Angel and Grants,0.0,Bangalore,2018,unknown,Healthcare
Simulanis,Training,Early Stage,500000.0,New Delhi,2018,unknown,Other
MY CHIRAAG CAB,Travel,Early Stage,1000000.0,Jaipur,2018,unknown,Other
WOTU,Food and Beverage,Early Stage,0.0,Bangalore,2018,unknown,Food & Agriculture
Flathalt,unknown,Angel and Grants,50000.0,Gurgaon,2018,unknown,Other
True Elements,Dietary Supplements,Early Stage,730000.0,Pune,2018,unknown,Other
Trendlyne Technologies,Financial Services,Early Stage,200000.0,Bangalore,2018,unknown,Consulting & Services
Planys Technologies,Manufacturing,Series A to Series H,2046920.0,Chennai,2018,unknown,Other
HealthPlix,Fitness,Series A to Series H,3000000.0,Bangalore,2018,unknown,Other
dishq,unknown,Early Stage,400000.0,Bengaluru,2018,unknown,Other
Entropik Technology,Artificial Intelligence,Early Stage,1100000.0,Bengaluru,2018,unknown,Other
myHQ,Collaboration,Series A to Series H,500000.0,Delhi,2018,unknown,Other
Trell,unknown,Early Stage,1250000.0,Bangalore City,2018,unknown,Other
Kidovators (by GyanLab),Big Data,Early Stage,180000.0,Bangalore,2018,unknown,Other
Log 9 Materials,Nanotechnology,Early Stage,438000.0,Uttar Pradesh,2018,unknown,Technology
VTION,Analytics,Early Stage,280320.0,Gurgaon,2018,unknown,Other
HousingMan.com,unknown,Early Stage,1503800.0,Bengaluru,2018,unknown,Other
Steradian Semiconductors,unknown,Early Stage,0.0,Bangalore,2018,unknown,Other
RupeeCircle,Financial Services,Early Stage,584000.0,Mumbai,2018,unknown,Consulting & Services
Wooden Street,E-Commerce,Series A to Series H,1000000.0,Jaipur,2018,unknown,E-Commerce & Marketplace
The Ken,Digital Media,Series A to Series H,1500000.0,Bengaluru,2018,unknown,Other
SaffronStays,unknown,Early Stage,2000000.0,Mumbai,2018,unknown,Other
Vebbler,File Sharing,Early Stage,0.0,Bengaluru,2018,unknown,Other
Foyr,Home Decor,Series A to Series H,4200000.0,Pune,2018,unknown,Other
MEngage,Health Care,Early Stage,175000.0,Jaipur,2018,unknown,Healthcare
Inner Being Wellness,unknown,Angel and Grants,511000.0,Hyderabad,2018,unknown,Other
Kobster,E-Commerce,Early Stage,0.0,Chennai,2018,unknown,E-Commerce & Marketplace
Wishberry,Crowdfunding,Series A to Series H,1460000.0,Mumbai,2018,unknown,Other
McXtra,Finance,Early Stage,1300000.0,Andheri,2018,unknown,Finance $ Banking
Magic Crate,Children,Early Stage,0.0,Bangalore,2018,unknown,Other
SmartVizX,Software,Early Stage,1450000.0,Noida,2018,unknown,Technology
MySEODoc,unknown,Early Stage,0.0,Delhi,2018,unknown,Other
ENLYFT DIGITAL SOLUTIONS PRIVATE LIMITED,unknown,Early Stage,2920.0,Pune,2018,unknown,Other
Scale Labs,unknown,Early Stage,1000000.0,Delhi,2018,unknown,Other
HungerBox,B2B,Series A to Series H,4500000.0,Bengaluru,2018,unknown,Other
Biryani By Kilo,Catering,Early Stage,1000000.0,Noida,2018,unknown,Other
Wholesome Habits (EAT Anytime),Food and Beverage,Early Stage,500000.0,Mumbai,2018,unknown,Food & Agriculture
GoBumpr,Automotive,Early Stage,600000.0,Mylapore,2018,unknown,Autommotive $ Transportation
Fixpocket,Computer,Early Stage,250000.0,Ahmedabad,2018,unknown,Other
edureka!,Android,Series A to Series H,2000000.0,Bangalore,2018,unknown,Other
Hashtag Loyalty Private Limited,Analytics,Early Stage,0.0,Mumbai,2018,unknown,Other
Wow Express,Delivery,Series A to Series H,4500000.0,Mumbai,2018,unknown,Other
ZunRoof,Environmental Consulting,Angel and Grants,242360.0,Gurgaon,2018,unknown,Consulting & Services
Eggoz,Food and Beverage,Angel and Grants,175200.0,Indore,2018,unknown,Food & Agriculture
Sqrrl Fintech,Big Data,Early Stage,1000000.0,Gurgaon,2018,unknown,Other
GalaxyCard,Finance,Early Stage,0.0,Noida,2018,unknown,Finance $ Banking
IndiQube,Commercial Real Estate,Series A to Series H,15000000.0,Bengaluru,2018,unknown,Real Estate $ Property
EGK Foods,Food and Beverage,Early Stage,292000.0,Mumbai,2018,unknown,Food & Agriculture
NirogStreet,Apps,Early Stage,300000.0,Gurgaon,2018,unknown,Other
Pixr8,Digital Media,Early Stage,50000.0,Ghaziabad,2018,unknown,Other
Nivesh.com,Finance,Early Stage,438000.0,Noida,2018,unknown,Finance $ Banking
Theranosis Life Sciences,Biotechnology,Early Stage,0.0,Hyderabad,2018,unknown,Technology
Poshmiles Online Solutions Private Limited,Travel,Early Stage,0.0,Bengaluru,2018,unknown,Other
Reculta,Education,Early Stage,0.0,Noida,2018,unknown,Other
Orbo.ai,Internet,Early Stage,0.0,Mumbai,2018,unknown,Technology
Inntot Technologies,Consumer Electronics,Early Stage,0.0,Kochi,2018,unknown,Other
Zoctr Health,Apps,Early Stage,0.0,Powai,2018,unknown,Other
Hey Deedee,Delivery Service,Early Stage,481800.0,Mumbai,2018,unknown,Other
DigiConnectt Technologys,Information Services,Early Stage,125000.0,Bengaluru,2018,unknown,Consulting & Services
Locus.sh,Big Data,Series A to Series H,4000000.0,Bangalore,2018,unknown,Other
Sports Flashes Pvt. Ltd,Basketball,Early Stage,1000000.0,New Delhi,2018,unknown,Other
Inc42,Media and Entertainment,Early Stage,0.0,New Delhi,2018,unknown,Other
Picxy,Internet,Early Stage,130000.0,Guntur,2018,unknown,Technology
Huddle,Consulting,Early Stage,300000.0,Haryana,2018,unknown,Consulting & Services
Benepik,Human Resources,Early Stage,0.0,Gurgaon,2018,unknown,Other
Cash Suvidha,Finance,Early Stage,1000000.0,New Delhi,2018,unknown,Finance $ Banking
Smartcoin,Big Data,Early Stage,2000000.0,Bangalore,2018,unknown,Other
Carmel Organics,Agriculture,Series A to Series H,0.0,Indore,2018,unknown,Food & Agriculture
Roadcast,unknown,Angel and Grants,250000.0,New Delhi,2018,unknown,Other
Printline Media(ThePrint),Digital Media,Early Stage,509540.0,New Delhi,2018,unknown,Other
Creditas Solutions,Financial Services,Early Stage,0.0,Gurgaon,2018,unknown,Consulting & Services
UrbanPiper,Software,Early Stage,0.0,Bengaluru,2018,unknown,Technology
Doxper,Health Care,Early Stage,1051200.0,Mumbai,2018,unknown,Healthcare
i2ifunding,Crowdfunding,Angel and Grants,730000.0,Noida,2018,unknown,Other
ShakeDeal,B2B,Early Stage,0.0,Bangalore,2018,unknown,Other
HelloVerify,Fraud Detection,Early Stage,0.0,Noida,2018,unknown,Other
Fasal,Agriculture,Early Stage,120000.0,Bengaluru,2018,unknown,Food & Agriculture
CoinGeto,Cryptocurrency,Early Stage,1752000.0,Delhi,2018,unknown,Other
Avail Finance,Finance,Series A to Series H,17200000.0,Bangalore,2018,unknown,Finance $ Banking
Tripeur,Information Technology,Early Stage,600000.0,Bengaluru,2018,unknown,Technology
Wedeterna,Wedding,Angel and Grants,0.0,Bangalore,2018,unknown,Other
Stumagz,Digital Media,Early Stage,0.0,Hyderabad,2018,unknown,Other
Doubtnut,E-Learning,Early Stage,511000.0,Gurgaon,2018,unknown,Other
MCaffeine,Consumer Goods,Early Stage,467200.0,Mumbai,2018,unknown,Other
TrustCheckr,Information Technology,Angel and Grants,100000.0,Bengaluru,2018,unknown,Technology
HealthAssure,Fitness,Early Stage,1000000.0,Mumbai,2018,unknown,Other
Picture TIme,Digital Entertainment,Early Stage,3650000.0,New Delhi,2018,unknown,Other
1Crowd,Crowdsourcing,Angel and Grants,3500000.0,Mumbai,2018,unknown,Other
Aarav Unmanned Systems,Delivery,Early Stage,0.0,Bangalore,2018,unknown,Other
Wellthy Therapeutics Pvt Ltd,Health Care,Early Stage,1971000.0,Mumbai,2018,unknown,Healthcare
Nua,Consumer Goods,Early Stage,0.0,Mumbai,2018,unknown,Other
Kuvera.in,Financial Services,Angel and Grants,250000.0,Bangalore,2018,unknown,Consulting & Services
Livehealth,Health Care,Early Stage,1100000.0,Pune,2018,unknown,Healthcare
Gramophone,Farming,Early Stage,1000000.0,Indore,2018,unknown,Other
